,Star_name,Distance,Mass,Radius,Luminosity,{
81,Proxima Centauri,04.25,0.12,0.15,0.0017,"       ""      <td>NaN</td>\n""",
82,KIC 8462852,"01,470",1.43,1.58,4.68,"       ""      <td>NaN</td>\n""",
83,R136a1,"0163,000",290,32,"8,710,000","       ""    </tr>\n""",
84,Melnick 42,"0163,000",189,21.1,"3,600,000","       ""  </tbody>\n""",
85,WR 102,"018,134",19,0.39,"282,000","       ""</table>\n""",
86,VFTS 352,"0164,000",57.48,14.47,"330,000","       ""</div>"""
87,YBP 1194,"02,772",1.01,0.99,0.98,      ],
88,Gliese 1214,047.5,0.16,0.21,0.0033,"      ""text/plain"": ["
89,NML Cygni,"05,251",50,"1,640 - 2,770","229,000","       ""   Unnamed: 0                      Star_name  Distance Mass  Radius\n""",
90,VB 10,018.72,0.075,0.10,0.0004,"       ""0           0  SDSS J000013.54+255418.6 [de]      46.1   48    0.99\n""",
91,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000","       ""1           1        2MASS J00040288-6410358     192.0   19    1.63\n""",
92,TRAPPIST-1,039.6,0.089,0.12,0.0005,"       ""2           2                      LHS 102BC       NaN  NaN     NaN\n""",
93,2MASS J0523-1403,040.3,0.07,0.086,0.00013,"       ""3           3        2MASS J00242463-0158201      37.7   79    1.09\n""",
94,WISE 0855−0714,07.27,0.003,?,?,"       ""4           4      2MASS J00250365+4759191AB     143.0  NaN     NaN"""
95,Icarus,"014,400,000,000",33,?,"850,000",      ]
